sku,salesdate,price,unitsordered,sales,cogs,fba,reffee,adspend,profit,comp_1_price,comp_2_price,comp_data_min_price,comp_data_max_price,managed_fba_stock_level,min_price,max_price,avg_price_per_unit
Envelopes SKU 11,2022-01-02,21.49,4,86.0,38.0,33.0,13.0,0.0,2.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,21.5
Envelopes SKU 11,2022-01-03,21.49,18,387.0,171.0,148.0,58.0,0.0,10.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,21.5
Envelopes SKU 11,2022-01-04,21.49,24,516.0,228.0,197.0,77.0,0.0,14.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,21.5
Envelopes SKU 11,2022-01-05,21.49,10,215.0,95.0,82.0,32.0,0.0,6.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,21.5
Envelopes SKU 11,2022-01-08,21.49,7,150.0,66.0,58.0,22.0,0.0,4.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,21.428571428571427
Envelopes SKU 11,2022-01-09,21.49,16,344.0,152.0,132.0,52.0,0.0,8.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,21.5
Envelopes SKU 11,2022-01-11,21.49,16,344.0,152.0,132.0,52.0,0.0,8.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,21.5
Envelopes SKU 11,2022-01-15,21.49,5,107.0,47.0,41.0,16.0,0.0,3.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,21.4
Envelopes SKU 11,2022-01-16,21.49,7,150.0,66.0,58.0,22.0,0.0,4.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,21.428571428571427
Envelopes SKU 11,2022-01-17,21.49,17,365.0,161.0,140.0,55.0,0.0,9.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,21.470588235294116
Envelopes SKU 11,2022-01-22,21.49,9,193.0,85.0,74.0,29.0,0.0,5.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,21.444444444444443
